"","X1","X2","muhat","Vhat"
"528",2.7049,3.5,0.427014,0.004304
"529",2.7049,3.6,0.438121,0.004566
"530",2.7049,3.7,0.449047,0.004837
"531",2.7049,3.8,0.45992,0.005072
"532",2.7049,3.9,0.470928,0.005305
"533",2.7049,4,0.48166,0.005434
"534",2.928,0,0.102694,2.9e-05
"535",2.928,0.1,0.109079,3.6e-05
"536",2.928,0.2,0.115653,4.9e-05
"537",2.928,0.3,0.12242,6.5e-05
"538",2.928,0.4,0.129365,8.2e-05
"539",2.928,0.5,0.136512,0.000104
"540",2.928,0.6,0.143848,0.00013
"541",2.928,0.7,0.15139,0.000162
"542",2.928,0.8,0.159122,0.000199
"543",2.928,0.9,0.167011,0.000244
"544",2.928,1,0.175105,0.000291
"545",2.928,1.1,0.183411,0.000348
"546",2.928,1.2,0.19188,0.000416
"547",2.928,1.3,0.200563,0.000491
"548",2.928,1.4,0.209383,0.000574
"549",2.928,1.5,0.218441,0.000676
"550",2.928,1.6,0.227644,0.000783
"551",2.928,1.7,0.237016,9e-04
"552",2.928,1.8,0.246528,0.001035
"553",2.928,1.9,0.256205,0.001192
"554",2.928,2,0.266109,0.001352
"555",2.928,2.1,0.276032,0.001526
"556",2.928,2.2,0.286202,0.001737
"557",2.928,2.3,0.296512,0.001937
"558",2.928,2.4,0.306858,0.002138
"559",2.928,2.5,0.317362,0.002398
"560",2.928,2.6,0.327935,0.002631
"561",2.928,2.7,0.338605,0.002885
"562",2.928,2.8,0.34939,0.003191
"563",2.928,2.9,0.360191,0.003477
"564",2.928,3,0.371051,0.003797
"565",2.928,3.1,0.381963,0.004106
"566",2.928,3.2,0.392894,0.00441
"567",2.928,3.3,0.403849,0.004747
"568",2.928,3.4,0.414795,0.005078
"569",2.928,3.5,0.425831,0.005418
"570",2.928,3.6,0.436789,0.005749
"571",2.928,3.7,0.447716,0.00607
"572",2.928,3.8,0.458649,0.006406
"573",2.928,3.9,0.469514,0.006668
"574",2.928,4,0.480364,0.006829
"575",3.2157,0,0.102536,3.8e-05
"576",3.2157,0.1,0.108895,4.7e-05
"577",3.2157,0.2,0.115443,6.4e-05
"578",3.2157,0.3,0.122181,8.4e-05
"579",3.2157,0.4,0.129115,0.000106
"580",3.2157,0.5,0.136242,0.000136
"581",3.2157,0.6,0.143532,0.000171
"582",3.2157,0.7,0.15105,0.000212
"583",3.2157,0.8,0.158745,0.00026
"584",3.2157,0.9,0.166624,0.000317
"585",3.2157,1,0.174702,0.000386
"586",3.2157,1.1,0.182951,0.00046
"587",3.2157,1.2,0.191371,0.000548
"588",3.2157,1.3,0.200026,0.000653
"589",3.2157,1.4,0.20884,0.000768
"590",3.2157,1.5,0.217821,0.000899
"591",3.2157,1.6,0.226976,0.001046
"592",3.2157,1.7,0.236354,0.001206
"593",3.2157,1.8,0.245836,0.001388
"594",3.2157,1.9,0.2555,0.001589
"595",3.2157,2,0.265314,0.001816
"596",3.2157,2.1,0.275277,0.002039
"597",3.2157,2.2,0.285397,0.002318
"598",3.2157,2.3,0.295586,0.002595
"599",3.2157,2.4,0.305947,0.00289
"600",3.2157,2.5,0.316356,0.003229
"601",3.2157,2.6,0.326933,0.003545
"602",3.2157,2.7,0.337562,0.003899
"603",3.2157,2.8,0.348262,0.004272
"604",3.2157,2.9,0.359008,0.004658
"605",3.2157,3,0.369931,0.005111
"606",3.2157,3.1,0.380792,0.005489
"607",3.2157,3.2,0.391652,0.005892
"608",3.2157,3.3,0.402629,0.006341
"609",3.2157,3.4,0.413539,0.006771
"610",3.2157,3.5,0.424496,0.007256
"611",3.2157,3.6,0.43547,0.00771
"612",3.2157,3.7,0.4463,0.008109
"613",3.2157,3.8,0.457228,0.008602
"614",3.2157,3.9,0.467983,0.008938
"615",3.2157,4,0.478829,0.009157
"616",3.6212,0,0.102396,5.3e-05
"617",3.6212,0.1,0.108742,6.8e-05
"618",3.6212,0.2,0.115267,9.2e-05
"619",3.6212,0.3,0.121991,0.000119
"620",3.6212,0.4,0.128903,0.000153
"621",3.6212,0.5,0.136001,0.000194
"622",3.6212,0.6,0.14329,0.000243
"623",3.6212,0.7,0.150764,0.000299
"624",3.6212,0.8,0.158429,0.000371
"625",3.6212,0.9,0.16629,0.000452
"626",3.6212,1,0.174323,0.000548
"627",3.6212,1.1,0.182568,0.000656
"628",3.6212,1.2,0.190973,0.000781
"629",3.6212,1.3,0.199578,0.000939
"630",3.6212,1.4,0.208353,0.001097
